eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field
2-s2.0-105028877714,10.48161/qaj.v6n1a1972,2026,Jamil Y.; Yamlahi I.E.; Amine N.B.,Jamil Y.,Predicting Corporate Profitability in Morocco: Comparing Classical Regression and Machine Learning,Qubahan Academic Journal,,27098206,6,164-193,0,1,financial performance | linear regression | machine learning | Moroccan companies | predictive modeling | profitability,"To the best of our knowledge, this study provides the first systematic comparison between classical regression and advanced machine learning models for predicting the profitability of Moroccan firms listed on the Casablanca Stock Exchange. While prior research has largely focused on developed markets, profitability prediction in emerging economies such as Morocco remains underexplored, despite the market’s structural particularities (sectoral concentration, reliance on bank financing, and limited disclosure practices). This article provides the first systematic comparative analysis between regression and machine learning approaches applied to Moroccan listed companies, highlighting the advantages and limitations of each method in capturing complex and non-linear financial dynamics. Using a dataset covering ten years of financial statements, we evaluate multiple models, including OLS, Ridge regression, Random Forest, Gradient Boosting, Support Vector Regression, KNN, and XGBoost. Results show that machine learning models consistently outperform regression in predictive accuracy, while regression retains value in interpretability. Findings contribute to academic research by extending profitability forecasting studies to an under-explored emerging market, and to practice by offering investors, policymakers, and managers tools that improve risk assessment, capital allocation, and decision-making under conditions of uncertainty. These implications are particularly relevant for emerging economies, where informational asymmetries and structural heterogeneity complicate financial forecasting.",,
2-s2.0-105038416372,10.37497/eagleSustainable.v16i.644,2026,Liu Y.; Liu L.; Abdykadyrov K.,Liu Y.,ARTIFICIAL INTELLIGENCE-ENABLED COMPETITIVE INTELLIGENCE AS A STRATEGIC CAPABILITY: ECONOMIC VALUE CREATION ACROSS FIRMS,Journal of Sustainable Competitive Intelligence,,30857813,16,,0,1,Artificial intelligence | Competitive intelligence | Economic value | Firm performance | Market sensing | Strategic capability,"Purpose: This study examines how artificial intelligence enabled competitive intelligence (AIECI) creates economic value for firms. Rather than treating artificial intelligence as a standalone automation tool, the paper conceptualizes it as a strategic intelligence infrastructure that strengthens how firms sense market shifts, interpret signals, and orchestrate competitive responses. Methodology/approach: The study adopts a qualitative comparative multiple case design based on recent public archival evidence. Four theoretically sampled cases Walmart, Unilever, Sprinklr, and DoubleVerify were selected because they publicly document the use of AI in market sensing, customer intelligence, campaign optimization, and decision support. The empirical corpus includes annual reports, 10-K filings, earnings releases, and official corporate materials published mainly between 2024 and 2026, complemented by recent peer-reviewed literature. The analysis proceeded through within-case coding and cross-case pattern matching across five dimensions: intelligence source, AI mechanism, decision domain, economic implication, and boundary condition. Originality/Relevance: The paper contributes by positioning competitive intelligence, rather than AI alone, as the strategic mechanism through which value is created. It clarifies the sequence through which AI inputs are transformed into competitive intelligence capability, intelligence-informed decisions, and economic outcomes. Key findings: Across the four cases, AIECI generated value through four recurring pathways: revenue acceleration, efficiency and cost relief, improved allocation quality, and strategic speed under uncertainty. However, these benefits were contingent on complementary conditions, particularly data quality, governance, managerial interpretation, and the integration of intelligence outputs into operating decisions. Theoretical/methodological contributions: The study develops a process view of AIECI built on sensing, interpretation, and orchestration. It also demonstrates how recent archival case evidence can be used rigorously to analyze an emerging strategic phenomenon without reducing the study to a purely descriptive literature review.",,
2-s2.0-105032687137,10.1111/sjpe.70055,2026,Kazakis P.,Kazakis P.,Conditional Gains: When AI Investment Enhances Firm Efficiency,Scottish Journal of Political Economy,00369292,14679485,,,0,1,artificial intelligence | financing horizon | firm efficiency | investor horizon | managerial ability | market power,"The rapid adoption of artificial intelligence (AI) has raised questions about its effect on firm performance. Using a labor-based measure of AI investment, the baseline results show no direct association between AI investment and firm efficiency. The heterogeneity analysis indicates that efficiency gains materialize primarily when firms pair AI with capable managers, face stronger competitive pressure, have more stable institutional investor ownership, and are able to secure long-term debt.",2,ECON
2-s2.0-105043778718,10.1080/13504851.2026.2696047,2026,Ye L.; Wu S.,Ye L.,The governance role of institutional investors: evidence from AI washing,Applied Economics Letters,13504851,14664291,,,0,0,AI washing | corporate governance | information disclosure | Institutional investors,"The growing disconnect between firms’ symbolic AI disclosure and their substantive AI investment, known as AI washing, threatens disclosure quality and capital allocation efficiency. Using Chinese A-share listed firms from 2017 to 2024, we examine whether institutional investors discipline corporate AI washing. Institutional ownership significantly reduces AI washing, an effect driven by long-term institutions while short-term institutions play no role. Mechanism analyses identify two complementary channels: a monitoring channel that improves information transparency and constrains managerial impression management, and a resource channel that promotes substantive AI R&D. The effect is stronger among non-state-owned firms, firms with lower analyst coverage, and during the AI hype period, and is concentrated among independent institutions. We further show that AI washing significantly depresses medium- to long-term firm value, providing an economic rationale for institutional governance engagement. We offer systematic evidence on curbing AI washing from a governance perspective.",1,ECON
2-s2.0-105041190098,10.1002/bse.71134,2026,Singh A.; Chakraborty M.; Singh V.,Singh A.,"Artificial Intelligence Innovation, Firm Performance, and Market Perception: Does Sustainability Matter?",Business Strategy and the Environment,09644733,10990836,,,0,0,artificial intelligence | firm performance | firm value | innovation | political environment | sustainability,"This study analyzes how artificial intelligence (AI) innovation affects firms' financial performance and value among S&P 500 companies in the US market, using a panel data regression model for the period 2000–2024. The study finds mixed evidence of a small positive impact of AI innovation on firms' return on assets, with the effect stronger for more R&D-intensive firms. This study also tests whether the market considers the environmental impact of AI innovation when valuing a firm's AI innovation. The findings demonstrate that AI innovation increases firm value for companies that perform well on sustainability-related metrics. This effect is stronger under Democratic administrations than under Republican governments, indicating the influence of political environments on the market's perception of firms' actions. The results remain robust to multiple checks, including system-GMM and PSM. The study makes a compelling argument for incorporating sustainability as a crucial strategic component in the new AI-driven business world, while providing insights for policymakers, executives, and investors.",3,SOC SCI
2-s2.0-105033690259,10.1080/00036846.2026.2646327,2026,Guo X.; Song X.; Yang L.,Guo X.,Does AI investment fuel the demand for foreign skilled labor? Insights from H-1B applications,Applied Economics,00036846,14664283,,,0,0,artificial intelligence | H-1B visa | immigration | technology and employment,"The debate over the H-1B visa (a temporary, non-immigrant visa that allows U.S. employers to hire foreign workers in speciality occupations) in the United States has been longstanding and often contentious. This study finds a positive impact of artificial intelligence (AI) investment on firms’ H-1B visa applications, suggesting that firms investing in AI are more likely to hire highly skilled foreign workers. To address potential endogeneity concerns, we employ two identification strategies: propensity score matching and instrumental variable analysis. We further observe that higher R&D expenditure, stronger sales growth, and greater capital investments are associated with increased demand for H-1B visas, particularly among firms with higher AI investment. Additional analyses show that H-1B petitions are linked to enhanced firm performance and innovation outcomes. By connecting AI investment with foreign labour demand, this study offers valuable insights for business leaders and policymakers navigating the evolving intersection of technological advancement and workforce composition.",2,ECON
2-s2.0-105037507270,10.1080/13504851.2026.2664089,2026,Liu N.; Cao L.; Xia Y.,Liu N.,Data asset disclosure catering behaviour and firm value: causal evidence from double-debiased machine learning,Applied Economics Letters,13504851,14664291,,,0,0,causal mediation analysis | Data asset information disclosure catering | double-debiased machine learning | firm value | text analysis,"This study aims to clarify the impact mechanism of catering behaviour in data asset information disclosure on firm value. Based on Chinese-listed companies from 2010 to 2023, we adopt the double-debiased machine learning method, combined with causal mediation analysis and robustness checks, to conduct the research. We find that such catering behaviour negatively affects firm value, which is mediated by exacerbated information asymmetry, increased financing constraints and weakened investor confidence. Media supervision and analyst attention amplify this negative effect, which is more pronounced in firms with higher government attention, higher marketization, lower investor recognition and weaker legal environments. Furthermore, catering behaviour mitigates the negative spillover effect of information disclosure on competitors. This study enriches relevant theoretical research and provides empirical evidence for listed companies to optimize data asset information disclosure.",1,ECON
2-s2.0-105023874015,10.1016/j.irfa.2025.104830,2026,Lin N.; Li A.; Geng Y.; Yao J.; Liu C.,Lin N.,The role of artificial intelligence in enhancing firm investment efficiency,International Review of Financial Analysis,10575219,,109,,4,0,Artificial intelligence | Financial health | Firm investment efficiency | Innovation capability,"This paper investigates the effect of artificial intelligence (AI) on firm investment efficiency. The results show that AI can significantly enhance the investment efficiency of enterprises. This effect is more pronounced in high knowledge-intensity firms, high R&D-intensity firms, and firms with sound internal controls. Mechanism analysis reveals that AI contributes to improved investment efficiency by enhancing innovation capabilities and strengthening the financial health of firms. Furthermore, we find that AI adoption may lead to a rise in firm value. This study adds new insights to how AI influences firms' financial and strategic decision-making, providing a valuable reference for policymakers. It offers guidance for the government in formulating policies that promote intelligent transformation and encourage enterprises to leverage AI for innovation and improved investment efficiency.",3,FINANCE
2-s2.0-105019404558,10.1111/jpim.70014,2026,Filieri R.; Huang W.; Lin Z.; Xia Q.,Filieri R.,"Engaging Customers, Embracing AI: How Suppliers Respond to Trade Tensions and Improve Performance",Journal of Product Innovation Management,07376782,15405885,43,57-75,1,1,AI integration | artificial intelligence (AI) | customer engagement | induced innovation theory | trade tension,"Academic Summary: Firms face intensifying pressure to innovate amid escalating US–China trade tensions. This study investigates how they integrate artificial intelligence (AI) to respond to such disruptions. We reconceptualize induced innovation theory as adversity-induced innovation theory and test hypotheses using data from listed Chinese manufacturing firms, WTO tariff records, and customs data (2015–2022). Results indicate that higher tariff exposure increases AI integration, particularly among firms with stronger customer engagement needs. AI integration improves supply chain efficiency, sales performance, and market value. However, performance benefits follow an inverted U-shape: extreme tariff exposure diminishes AI's compensatory effects. The study extends induced innovation theory to geopolitical adversities and advances stakeholder engagement theory by identifying customer engagement as a boundary condition for technology adoption. We establish causal relationships between tariff-induced AI integration and firm performance through instrumental variable analysis and robustness checks. Findings inform how firms can strategically use technological innovation and customer collaboration to strengthen resilience under external shocks. Managers should view trade tensions as catalysts for AI integration rather than merely as obstacles. Managerial Summary: Firms facing trade tensions should view them as catalysts for strategic AI integration rather than merely as obstacles. Our research shows that firms experiencing higher tariff exposure that invest in AI achieve measurable improvements in supply chain efficiency, sales performance, and market valuations. However, AI's compensatory benefits diminish at extreme tariff levels, revealing an optimal investment threshold that managers should consider. The benefits of AI integration are particularly strong for firms with high customer engagement needs, such as those with concentrated customer bases, substantial international sales, or significant customer-specific investments. To maximize returns, managers should prioritize AI technologies that strengthen customer relationships by enhancing communication, responsiveness, and service personalization during trade disruptions. Successful implementation requires navigating technical and organizational challenges, including talent acquisition, data quality concerns, and integration complexities. Despite these hurdles, our findings confirm AI's strategic value as a compensatory innovation tool that not only mitigates tariff impacts but also transforms supplier-customer relationships. By aligning AI initiatives with customer engagement objectives, firms can turn geopolitical adversity into a competitive advantage. Companies that integrate AI strategically can maintain operational continuity, preserve market position, and emerge stronger from trade disruptions.",4,INNOV
2-s2.0-105036734815,10.1002/csr.70590,2026,Kharabsheh B.; Billah S.M.,Kharabsheh B.,Do ESG Disclosure Scores Enhance Bank Stability and Financial Performance? Evidence From Explainable Artificial Intelligence Models,Corporate Social Responsibility and Environmental Management,15353958,15353966,,,0,0,artificial intelligence | bank financial performance | bank stability | disclosure | ESG | explainable artificial intelligence models | machine learning,"This paper investigates the impact of environmental, social, and governance (ESG) disclosure score on the stability and financial performance of banking firms within the Gulf Cooperation Council region. With the increased public awareness regarding ESG initiatives, banks are under pressure to show more disclosure and compliance. Our study employs annual panel data from 2017 to 2024, using 33 banks operating in Gulf Cooperation Council region. Bank stability is measured by Z-score and the standard deviation of return on assets, while bank financial performance is measured using the return on assets and the return on equity. The Generalized Least Squares random effects model shows that higher ESG score leads to higher bank stability and financial performance. Our results are confirmed using advanced machine learning models. The explainable artificial intelligence model provides evidence that ESG disclosure can predict both bank stability and financial performance. The findings of this study have important practical implications. We contribute to the literature on sustainable finance, providing insights to policymakers, bank managers, and investors seeking to deal with the dynamic challenges in the banking industry.",1,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT"
2-s2.0-105017862039,10.1002/jcaf.70010,2026,Sultana N.; Zeya F.; Islam K.M.Z.; Rodriguez A.J.,Sultana N.,The Role of Total Assets in Financial Performance: Evaluating Econometrics and Machine Learning Approaches,Journal of Corporate Accounting and Finance,10448136,10970053,37,204-215,2,0,fixed effects model | profitability (EBITDA) | random effects model | support vector machines (SVM) | total assets,"This study examines the financial performance of North American firms, accentuating the significant role of total assets in determining profitability, measured through EBITDA. By incorporating traditional econometric models—Fixed Effects and Random Effects—with machine learning techniques, exclusively Support Vector Machines (SVM), the research assesses both explanatory and predictive capabilities. The findings reveal that total assets significantly influence EBITDA, with the Fixed Effects model offering robust explanatory power (adjusted R<sup>2</sup> = 77.86%) and SVM exhibiting superior predictive accuracy (89.4%). Additionally, the nuanced effects of financial ratios, such as liquidity and leverage, emphasize their indirect contributions to financial performance. These results offer actionable insights for stakeholders to optimize asset utilization and financial strategies. This study's implications extend to advancing predictive methodologies in financial analysis, providing a scalable framework for analyzing profitability across diverse firms and contexts. This research specifies constructive insights for stakeholders, investors, and policymakers, enhancing their understanding of the financial dynamics of North American firms.",,
2-s2.0-105043297986,10.5267/j.dsl.2026.5.005,2026,Afaneh M.K.K.; Allahham M.; Almajali M.; Elsharif M.S.B.,Afaneh M.K.K.,Artificial intelligence and blockchain adoption for sustainable financial performance: The mediating role of DAC in Jordanian financial institutions,Decision Science Letters,19295804,19295812,15,665-676,0,1,Blockchain | Data analytics | Intelligent decision-making system | Jordan banks | Machine learning | Sustainable financial performance,"This study examines the role of artificial intelligence and blockchain adoption in enhancing sustainable financial performance among Jordanian financial institutions (FIs). Based on the resource-based view, the study explores the mediating role of data analytics capability through predictive analytics, intelligent data processing, and data-driven decision-making processes. A deductive quantitative approach employed and data were collected using structured questionnaires distributed to employees working in Jordanian commercial and Islamic FIs. A total of 300 valid responses were analyzed using partial least squares structural equation modeling (PLS-SEM). The results of this study reveal that artificial intelligence (AI) and blockchain adoption positively and significantly influenced sustainable financial performance through improving operational efficiency, transaction transparency, intelligent financial decision-making, and institutional adaptability. The results also confirm that data analytics capability played a significant mediating role between AI, blockchain adoption, and sustainable financial performance. FIs with stronger analytical capabilities were better able to transform technological investments into strategic financial outcomes, thereby improving financial resilience, organizational efficiency, and longterm sustainability. The study is limited to Jordanian FIs, which may restrict the generalizability of the findings. In addition, the cross-sectional design does not allow examination of long-term technological changes. Future studies may utilize longitudinal approaches, cross-country samples, and additional technological dimensions, including cloud computing integration, analytics, and intelligent automation systems. The study contributes to the growing literature on digital finance by emphasizing AI, blockchain adoption, and data analytics capability as strategic organizational resources that strengthen sustainable financial performance within emerging digital financial ecosystems.",,
2-s2.0-105028963584,10.1007/s10614-025-11283-7,2026,Chan C.P.; Tang F.K.; Yang J.H.,Chan C.P.,Financial Performance Prediction and Stability Analysis Using SHAP-Enhanced Machine Learning Models,Computational Economics,09277099,15729974,,,1,0,Explainable al (XAI) | Feature importance | Financial forecasting | Interpretability stability | Machine learning | SHAP | XGBoost,"Accurate prediction of corporate financial performance is crucial for investors, financial institutions, and policymakers. While machine learning (ML) models, particularly ensemble methods like XGBoost, have demonstrated superior predictive capabilities, their inherent “black-box” nature often hinders their adoption in finance, a domain emphasizing transparency and interpretability. This research addresses this challenge by integrating SHapley Additive exPlanations (SHAP) with ML models to not only predict corporate financial performance but also to provide comprehensible insights into the predictive drivers. A comprehensive framework is proposed, leveraging XGBoost for financial classification tasks, complemented by SHAP for in-depth interpretability. The research evaluates model performance using metrics such as Accuracy, Precision, Recall, F1-score, and AUC-ROC, based on financial data of publicly listed companies in Taiwan from 2018 to 2024. Furthermore, the study investigates the stability of SHAP-based explanations across different years, a critical aspect for reliable decision-making. Key findings indicate that XGBoost significantly outperforms other benchmark models. The SHAP analysis successfully identifies key financial indicators influencing performance predictions and reveals the temporal stability of these feature contributions. This research contributes by offering a robust and interpretable financial prediction framework, enhancing model transparency and trustworthiness for practical applications in corporate finance and risk management. The findings underscore the utility of combining advanced ML techniques with XAI for more reliable and understandable financial forecasting.",1,ECON
2-s2.0-105037883399,10.1007/s11146-026-10063-w,2026,Lokanan M.,Lokanan M.,Detecting Illicit Investment in Real Estate: a Machine‑Learning Approach to Rare‑Event AML Risk,Journal of Real Estate Finance and Economics,08955638,1573045X,,,0,0,Beneficial ownership opacity | Machine learning | Money laundering | Rare‑event classification | Rational Choice Theory | Real estate,"Illicit investment in residential real estate poses persistent challenges for anti–money‑laundering (AML) enforcement due to ownership opacity, fragmented data, and the scarcity of confirmed criminal cases. This study evaluates supervised machine‑learning and neural‑network models to determine their ability to detect properties linked to criminal activity and to identify the most influential predictors of illicit investment. Using a rare‑event dataset and cross‑validated modelling framework, the analysis shows that meaningful patterns can be detected despite extreme class imbalance. Across logistic regression, Random Forest, XGBoost, CART oversampling experiments, and an artificial neural network, consistent predictors—market_value, owner_legal_person, owner_owns_multiple, land_acres, and out_of_state_owner—emerge as central risk indicators. The findings support Rational Choice Theory by illustrating how offenders exploit structural vulnerabilities to maximize utility. Policy implications include property‑level risk scoring, early‑warning systems, and enhanced support for gatekeepers. Machine‑learning approaches show strong potential to strengthen real‑estate AML frameworks.",3,FINANCE
2-s2.0-105026775538,10.5267/j.jpm.2025.10.003,2026,Ali G.M.,Ali G.M.,Enhancing project financial performance prediction: An explainable machine learning framework integrating frontier efficiency and super learner,Journal of Project Management Canada,23718366,23718374,11,151-168,1,1,Data Envelopment Analysis (DEA) | Explainable Machine Learning | Frontier Operational Efficiency | Project Financial Performance | Super Learner,"This study investigates the role of frontier operational efficiency in predicting financial performance within Egypt’s emerging market. Data Envelopment Analysis (DEA) quantifies operational efficiency, and its predictive power is assessed within a machine learning (ML) framework, extending beyond traditional financial ratios. A Super Learner ensemble is developed, integrating Random Forest (RF) and Categorical Gradient Boosting (CatBoost) with a linear regression meta-learner. The Super Learner enhances accuracy and robustness by dynamically weighting and combining predictions from diverse base models, using a meta-learner to minimize error, reduce overfitting, and improve generalization. Empirical results demonstrate that incorporating DEA significantly improves predictive performance, increasing R² by 3.8% (t=5.45, p < 0.01). The Super Learner achieves an R² of 0.612, with an RMSE of 0.061 and MAE of 0.046, outperforming both linear regression and state-of-the-art ML models. Feature importance analysis (via CatBoost) identifies net working capital (11.5%) and DEA efficiency (10.0%) as the top predictors. SHapley Additive exPlanations (SHAP) and partial dependence analyses further indicate that DEA efficiency, net working capital, and cash holdings exhibit positive but nonlinear associations with financial performance, while leverage demonstrates a concave, nonlinear relationship. These findings provide practical implications for investors, managers, and policymakers, highlighting the strategic value of operational efficiency. Additionally, the study introduces a scalable, interpretable framework combining frontier efficiency metrics with explainable ML, offering a robust tool for financial decision-making.",,
2-s2.0-105029123595,10.3390/ijfs14010016,2026,Silva D.G.C.d.; Romão E.C.; Bargos F.F.,Silva D.G.C.d.,Design and Evaluation of Machine Learning-Based Investment Strategies in Equity Funds,International Journal of Financial Studies,,22277072,14,,0,1,model accuracy | multi-class classification | predictive analytics | quantitative trading | random forest,"This study examines quantitative investment strategies for Brazilian equity funds, integrating traditional financial performance indicators with machine learning techniques to enhance fund selection. The main objective was to construct and validate predictive models for fund selection. The methodology involved collecting daily data from 2019 to 2025, computing a range of return and risk measures, and trained models to classify 1- and 3-month shifted windows. The 3-month models achieved the strongest predictive accuracy, exceeding 91%, with the Sharpe Ratio emerging as the most influential feature. A 12-month backtest (October/2024–September/2025) showed that ML-constructed portfolios delivered cumulative returns between 14.65% and 91.86%, depending on the selection criterion, substantially outperforming Brazil’s CDI risk-free benchmark (12.70%) and the Ibovespa (11.46%). These findings highlight the practical potential of ML-based fund selection, though successful implementation requires careful risk management and ongoing model validation.",,
2-s2.0-105033368531,10.1007/s13132-026-03230-0,2026,Zafar M.B.,Zafar M.B.,From People to Profits: Examining Human Capital Efficiency in Islamic Banking Through Machine Learning,Journal of the Knowledge Economy,18687865,18687873,,,0,1,Financial performance | Human capital | Islamic banking | Islamic banks | Machine learning | Random forest,"This study examines the limitations of a one-size-fits-all approach to human capital management in Islamic banks, exploring how non-linear dynamics and institutional factors influence financial performance. Utilizing the Random Forest algorithm, a machine learning approach adept at capturing non-linearities and interaction effects, the analysis draws on data from 135 Islamic banks across 32 countries from 2017 to 2023, comprising 886 bank-year observations. The results reveal a non-linear, three-phase relationship between human capital and financial performance: (1) initial investments result in stable performance, (2) a decline follows due to resource-intensive workforce development, especially in smaller and younger banks, and (3) eventual stabilization highlights inefficiencies and diminishing returns. Larger and older banks are better equipped to absorb human capital investment costs, whereas smaller and younger banks face greater challenges, highlighting the limitations of a one-size-fits-all approach to managing human capital. From a managerial perspective, the three-phase pattern suggests that human capital investments should be strategically timed and scaled according to bank size and maturity to avoid short-term performance deterioration and enhance long-term value creation.",1,INNOV
2-s2.0-105040524489,10.1108/JRF-09-2025-0424,2026,Afzal A.; Rafiq M.I.; Banerjee A.,Afzal A.,"Artificial intelligence (AI) and European Union’s financial sector: navigating accountability, challenges and regulation",Journal of Risk Finance,15265943,23312947,,1-16,0,0,AI integration | Financial literacy | Financial market performance | Regulatory landscape | Tax incentives,"Purpose – This research is imperative in understanding how artificial intelligence (AI) impacts financial market performance, thereby emphasizing the necessity of instituting robust regulatory frameworks. By focusing on the European Union (EU), it illustrates how accountability, transparency and governance quality shape the AI-driven innovation to enhance investor confidence, reduce systemic risks and attain financial stability. Design/methodology/approach – By employing panel data from 24 EU-member states, covering a time period from 2000 to 2022, this paper applies the generalized method of moments to address endogeneity concerns. This analysis is complemented by the Arellano-Bond Estimator as a robustness check, ensuring the validity of the empirical results. Findings – The empirical findings of the paper indicate that strong regulatory frameworks are the foundation of enhanced financial performance since they are incremental in reducing systemic risks and promoting investor confidence. Moreover, ICT diffusion is a vital component that contributes to financial innovation, however its benefits are contingent on effective governance quality. Practical implications – This study has key policy implications for the EU when it comes to amplifying financial market performance, driving sustainability objectives and attaining regulatory reforms. AI integration has become quintessential across the EU financial sector due to its indispensable nature in promoting transparency, accountability, fraud detection services and fair governance practices. Moreover, AI models are being employed across the financial sector for forecasting trends, protecting consumers’ privacy concerns and in FinTech-related services. Originality/value – While existing studies shed light on the broader implications of regulation, and the benefits of governance to amplify technological benefits, they lack in addressing the direct role of regulatory quality on AI’s integration in financial markets. Furthermore, they also neglect the role regulatory quality and patents play on ICT diffusion across financial markets. Thus, this study endeavors to address all of these gaps.",1,FINANCE
2-s2.0-105028560922,10.3390/jrfm19010051,2026,Omar M.A.; Gomaa I.I.; Sabry S.H.; Moubarak H.,Omar M.A.,Artificial Intelligence’s Role in Predicting Corporate Financial Performance: Evidence from the MENA Region,Journal of Risk and Financial Management,19118066,19118074,19,,3,1,artificial intelligence | deep learning | deep neural networks | eXtreme Gradient Boosting | financial performance | machine learning | random forests | support vector machines,"This study classifies corporate financial performance in countries in the Middle East and North Africa (MENA) region, addressing the critical need for accurate and early identification of high-, moderate-, and low-performance companies. The selection of the MENA region was driven by its significant economic growth, diverse market structures, and increasing attractiveness for foreign investment, which makes accurate financial performance assessment important. Despite the growing interest in AI applications for corporate financial performance, a research gap still persists. Existing studies focus primarily on bankruptcy and financial distress prediction in developed countries, with rather limited studies on multi-class financial performance classification in the MENA region. This study addresses a significant gap in the corporate financial performance evaluation literature, which is the lack of a robust, comparative evaluation of advanced DL techniques against conventional ML methods for multi-class corporate financial performance prediction using high-dimensional data. This study employs a design science research (DSR) approach by developing an evaluation analytics artifact that integrates structured preprocessing, dimensionality reduction, and comparative ML and DL modeling, following the relevance, design, and rigor cycles. By employing a design science research (DSR) methodology, the research used a dataset from the Compustat database, comprising 7971 firm-year observations from 2013 to 2024. A rigorous dimensionality reduction process, including pairwise correlation filtering, resulted in a final set of 15 key classification features. The study compared three machine learning techniques—random forests (RFs), support vector machines (SVMs), and eXtreme Gradient Boosting (XGBoost), against one deep learning technique, deep neural networks (DNNs), for classifying the corporate financial performance of MENA-region companies. The models were trained to classify corporations into three performance classes (low, moderate, and high), using the earnings per share (EPS) as the target variable. The empirical findings indicate that all four machine learning algorithms achieved meaningful predictive performance in classifying EPS-based corporate performance. Among the benchmark models, the support vector machine (SVM) and random forest (RF) classifiers produced stable and competitive results, indicating strong generalization capabilities across firms and periods. XGBoost consistently outperformed the traditional machine learning models, delivering the highest overall classification accuracy and superior discriminatory power, highlighting its effectiveness in capturing nonlinear relationships and complex feature interactions. Similarly, the deep neural network further improved classification performance relative to the benchmark models and exhibited comparable results to XGBoost, especially in modeling high-dimensional data. This superior performance can substantially enhance earnings performance classification through early performance deterioration and improvement identification, allowing more proactive strategic and operational decisions.",,
2-s2.0-105040951800,10.1002/csr.70732,2026,Issah O.; Zubeiru M.; Anaba S.,Issah O.,"Machine Learning Prediction of Environmental, Social and Governance Reporting Quality: A Global Cross-Sectional Analysis",Corporate Social Responsibility and Environmental Management,15353958,15353966,,,0,0,agency theory | corporate governance | ESG reporting quality | greenwashing detection | legitimacy theory | machine learning | SHAP analysis | signalling theory | sustainability reporting | XGBoost,"In an era of growing stakeholder pressure and regulatory fragmentation across global jurisdictions, the quality of environmental, social and governance (ESG) reporting has become foundational to corporate valuation, investment screening and regulatory oversight. This study uses machine learning (ML) techniques to predict global reporting quality and examine how the determinants differ in disclosure quality in developed and emerging economies as well as civil and common law jurisdictions. Drawing on a cross-sectional sample of 5000 publicly listed companies across 50 countries for the fiscal year 2022, we develop and evaluate Random Forest and XGBoost models alongside a panel regression benchmark, using financial performance metrics, corporate governance indicators and institutional characteristics as predictors. The primary contribution of this study is methodological: The authors demonstrate that ML techniques deliver superior predictive power compared to traditional econometric approaches by capturing the non-linear, high-dimensional interactions that characterise ESG disclosure decisions globally—a capacity that conventional ordinary least squares and fixed-effects regressions structurally cannot replicate. The study integrates signalling theory, legitimacy theory and agency theory to explain corporate disclosure motivations across diverse institutional settings. The results show that agency theory, in particular, illuminates why board size and board independence consistently emerge as strong predictors, since independent monitoring reduces information asymmetry and incentivises management to commit to transparent sustainability disclosures. Results confirm the superiority of ML techniques, with XGBoost achieving a test R<sup>2</sup> of 0.78 compared to 0.62 for panel regression. SHapley Additive exPlanations (SHAP) analysis identifies firm size, governance score and board independence as the most consequential predictors. Board independence exhibits a threshold effect: ESG quality gains plateau beyond approximately 65%–70% independent directors. The study offers actionable insights for investors and regulators seeking to identify firms at high risk of greenwashing through governance-marker profiling and sustainability officers benchmarking their organisations' reporting quality against global peers.",1,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT"
2-s2.0-105023533130,10.1016/j.jmoneco.2025.103875,2026,Adams J.J.; Fang M.; Liu Z.; Wang Y.,Adams J.J.,"The rise of AI pricing: Trends, driving forces, and implications for firm performance",Journal of Monetary Economics,03043932,,157,,0,0,AI-powered pricing | Algorithmic pricing | Artificial intelligence | Firm performance | Monetary policy | Price discrimination | Technology adoption,"We document key stylized facts about the time-series trends and cross-sectional distributions of artificial intelligence (AI)-powered pricing and study its implications for firm performance, both on average and in response to monetary policy shocks. We use the online job postings data from Lightcast to measure the adoption of AI pricing. We infer that a firm is adopting AI pricing if it posts a job that requires AI-related skills and contains the keyword “pricing.” At the aggregate level, the share of AI pricing jobs in all pricing jobs has increased more than tenfold since 2010. The rise of AI pricing jobs has been broad-based, spreading across more industries than other types of AI jobs. At the firm level, larger and more productive firms are more likely to adopt AI pricing. Firms that adopted AI pricing experienced faster growth in sales, employment, assets, and markups, and their stock returns are also more responsive to high-frequency monetary policy surprises than non-adopters. We show that these empirical observations can be rationalized by a simple model where a monopolist firm with incomplete information about its demand function invests in AI pricing to acquire information.",4,ECON
