eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field,screen_decision,screen_reason,screen_notes
2-s2.0-85166328855,10.1007/s11156-023-01185-w,2025,Mahmood F.; Ahmed Z.; Hussain N.; Ben-Zaied Y.,Mahmood F.,Working capital financing and firm performance: a machine learning approach,Review of Quantitative Finance and Accounting,0924865X,15737179,65,71-106,8,2,Decision tree regression | Principal component analysis | Profitability | Random forest regression | Short-term borrowings | Working capital finance,"Companies always try to balance the risk and return on their investments, finances, and daily operations. This study presents the moderating role of ownership status, company size, and leverage level while investigating the relationship between short-term-borrowings and profitability in six sectors of Chinese firms. Contrary to the prevalent literature, the current study creates master proxies, via principal component analysis, for major analysis. Two machine learning techniques, decision tree regression, and random forest regression algorithms, are compared with the fixed effect model to find the better estimation approach. The findings confirm the existence of an inverted U-shaped relationship between working capital finance and profitability in six sectors except the textile, significantly affected by ownership structure, company size, and leverage level. Various policy implications are suggested for company managers as well as lending organizations.",3,FINANCE,exclude,E3,ML compares estimation approaches for working capital; object not AI
2-s2.0-85211250985,10.1016/j.frl.2024.106572,2025,Malik M.; Mamun K.; Osman S.M.I.,Malik M.,Does corruption control enhance ESG-induced firm value? Insights from machine learning analysis,Finance Research Letters,15446123,,72,,9,2,Causal inferences | Corruption control | ESG performance | Firm value | Machine learning,"This study adopts advanced causal machine learning (ML) techniques to investigate the impact of country-level corruption on the market valuation of firms’ environmental, social, and governance (ESG) performance. By employing double-debiased machine learning (DML) and linear regression analysis, we find that ESG performance positively influences firm value. This positive relationship is more pronounced for firms operating in countries with lower levels of corruption. The use of DML enhances effect identification and yields findings that closely align with those derived from linear regression, thereby providing robust support for the pivotal role of corruption control in enhancing ESG-induced firm value.",2,FINANCE,exclude,E3,double-ML method for ESG -> firm value; AI as method
2-s2.0-105020293541,10.1080/09537325.2025.2577709,2025,Marchena Sekli G.; De La Vega I.,Marchena Sekli G.,Addressing challenges and constructing a blueprint for effective generative AI integration in business operations,Technology Analysis and Strategic Management,09537325,14653990,,,0,0,blueprint | business operations | Generative artificial intelligence | management,"This study addresses the critical challenges and proposes a comprehensive blueprint for effectively integrating Generative Artificial Intelligence (GenAI) into business operations. GenAI has emerged as a transformative force, offering significant competitive advantages to early adopters. However, a substantial gap remains in understanding the technical, organisational, and governance challenges associated with GenAI implementation. This research utilises a mixed-methods approach, incorporating a systematic literature review and expert interviews to develop a blueprint for deploying GenAI in organisations. The blueprint emphasises the alignment of GenAI initiatives with business objectives, the establishment of responsible governance framework, and the development of a technical infrastructure. It also highlights the decision-making process regarding the use of low-code/no-code platforms versus pro-code environments, as well as the impact of GenAI on both customer and employee experiences. Additionally, the study underscores the importance of organisational readiness, change management, and continuous improvement to foster a culture that embraces AI-driven innovation. By providing detailed insights into both technical and organisational aspects, this research bridges existing gaps and offers practical guidance for companies seeking to leverage GenAI to enhance their competitive edge. The findings contribute to the broader discourse on GenAI integration, supporting the strategic and operational scalability of GenAI within various industries.",2,STRAT,exclude,E1,SLR + expert interviews -> GenAI integration blueprint
2-s2.0-85219696956,10.1186/s40854-024-00719-y,2025,Martin-Melero I.; Gomez-Martinez R.; Medrano-Garcia M.L.; Hernandez-Perlines F.,Martin-Melero I.,Comparison of sectorial and financial data for ESG scoring of mutual funds with machine learning,Financial Innovation,,21994730,11,,8,1,Artificial intelligence (O30) | Corporate finance (G30) | ESG (Q56) | Machine learning (Q55) | Mutual funds (F21),"Recently, funds and corporations have adopted environmental/social/governance (ESG)-related criteria as increasingly important criteria when evaluating investments. The ESG scores of mutual funds, which pool money from many individuals, are, therefore, significant as a sign of social commitment and deliver long-term results for investors deciding in which fund to invest. However, this scoring process is not transparent, and computing ESG scores requires an extensive review and monitoring of accountancy data. In this study, Machine Learning (ML) was employed to predict six ESG scores of 3192 mutual funds by comparing the performance of the models built solely using 13 variables of ESG-controversial sectorial involvement and 37 variables of financial data. In both cases, three classification and three regression algorithms were applied to the 72 simulations. The results demonstrate an acceptable fit of the Random Forest and Gradient Boosting algorithms in regression exercises (R<sup>2</sup> values of 60–80%) and good prediction capabilities for classification (accuracies of approximately 70–80%). The models obtained similar performance when predicting ESG scores either from financial data or ESG-controversial sectorial involvement, illustrating how financial variables are good predictors of ESG scores as data on direct involvement in non-ESG funds’ activities. Thus, a relationship between the financial performance of a fund and its ESG score exists and is predictable by ML, saving time and resources.",2,FINANCE,exclude,E3,ML predicts mutual fund ESG scores; AI as method
2-s2.0-85216780033,10.1108/JBIM-03-2024-0205,2025,Mehta P.; Chakraborty D.; Rana N.P.; Mishra A.; Khorana S.; Kooli K.,Mehta P.,AI-driven competitive advantage: the role of personality traits and organizational culture in key account management,Journal of Business and Industrial Marketing,08858624,,40,543-569,11,2,Big 5 personality traits | Competitive advantage | Firm performance | KAM,"Purpose: The importance of key account management (KAM) as a management technique in business-to-business markets has grown in recent years. The success of KAM programmes is highly dependent on the efforts of individual employees, specifically key account managers. Research on KAM at an individual level is important but lacking in the academic domain. This study aims to fill this gap by developing and evaluating a model of key account manager personality traits and how they impact the adoption of artificial intelligence (AI) technologies. The study also depicts the effect of the adoption of AI technologies on competitive advantage and firm performance. Design/methodology/approach: The study examines how the adoption of AI technologies impacts firms’ competitive advantage and performance. The study used competitive advantage as a mediator and organisational culture as a moderator. A mixed-method analysis was used to conduct the study. In the first phase, an exploratory study was conducted using interviews with 26 key account managers from the automobile industry and thematic analysis to establish 9 constructs. In the second phase, which is a confirmatory study, 496 respondents finally responded to the questionnaire. Findings: All constructs are used for confirmatory analysis and validate the data. Our research shows that key account managers’ adoption of AI technologies is influenced significantly by personality traits. Extraversion, agreeableness, conscientiousness, neuroticism and openness have substantial links to adopting AI technologies, which impacts firms’ competitive advantage and performance. Organisational culture significantly moderates the association between agreeableness and the adoption of AI technologies. Practical implications: The findings of this research allow organisations to optimise team composition, customise training programs based on individual traits and incorporate personality assessments into recruitment processes for streamlined technology adoption and improved competitiveness. Overall, these actions aim to enhance AI integration, driving competitive advantage and client satisfaction. Originality/value: This study stands out as one of the limited inquiries examining how the Big-five personality traits of key account managers influence the integration of AI technologies and its resulting impact on company performance. Therefore, this research makes notable contributions to the realms of organisational psychology and technology adoption studies.",2,MKT,include,,"traits -> AI adoption -> competitive advantage -> firm performance, n=496 (firm-level outcome)"
2-s2.0-85206664490,10.1016/j.technovation.2024.103124,2025,Modgil S.; Gupta S.; Kar A.K.; Tuunanen T.,Modgil S.,How could Generative AI support and add value to non-technology companies – A qualitative study,Technovation,01664972,,139,,37,2,Business model | Business value | Generative artificial intelligence | Qualitative study | Technology appropriation,"With the spread of generative AI, non-technology companies are also adopting it at a faster rate. Therefore, this study aims to study the appropriation of Generative AI to create value to non-technology businesses through a knowledge based view of the firm. To achieve this objective, we followed a semi-structured interview schedule, where 98 qualitative data points were collected and analysed. We follow open, axial and selective coding along with Gioia methodology for analysis. Findings indicate that companies employ Generative AI for risk management, where potential threats, impact of possible hazards and degree of uncertainty in the business environment are considered in decision-making. Generative AI also helps in knowledge integration, where assimilation, adaptation, application and implementation are achieved. Findings also suggest that an improved business outlook can be achieved regarding accurate demand forecasting, real-time insights, contextual understanding and alignment to the vision through Generative AI. It is also observed that companies are investing in Generative AI to achieve competitive advantage and greater significance. The contribution of this study lies in the development of four propositions and a framework for generative AI-driven value for non-technology companies. The framework also uncovers the internal flow among key elements from risk identification to integration to developing the outlook and driving utility.",3,INNOV,exclude,E4,qualitative GenAI value framework + propositions; no performance outcome measured
2-s2.0-85208506675,10.1016/j.orgdyn.2024.101114,2025,Mohan R.,Mohan R.,Inter-firm imitation of artificial intelligence: Towards innovation and competitive edge in business,Organizational Dynamics,00902616,,54,,6,0,Absorptive capacity | Artificial intelligence | Corporate strategy | Innovation | Mimetic isomorphism,"In an era where artificial intelligence (AI) is rapidly transforming businesses, executives are at the forefront of steering their organizations through the complexities of technology adoption. This article provides a practitioner-focused perspective on how executives can strategically manage the adoption and integration of AI to drive innovation and maintain a competitive edge through the dynamics of inter-firm imitation of AI. By leveraging theories of imitation, knowledge transfer, and competitive advantage, it discusses how firms adopt AI technologies by emulating their competitors and subsequent effects on their innovation capabilities. Research examines the implications for firm strategy, including the potential for competitive parity, role of absorptive capacity, and the influence of industry characteristics on the effectiveness of imitative AI-driven innovation. The paper introduces a conceptual framework that integrates imitation, AI adoption, and innovation outcomes, offering a strategic roadmap for firms navigating the complex landscape of AI technology. Ultimately, the article provides managerial recommendations for firms to harness AI imitation as a tool for sustained innovation and competitive differentiation, drawing insights from six distinct case studies.",3,ORG STUD,exclude,E1,"practitioner conceptual framework on AI imitation, case illustrations only"
2-s2.0-105024691136,10.1108/EJM-06-2024-0535,2025,N. Tehrani A.; Roy S.K.,N. Tehrani A.,"Navigating technological disruptions: the interplay of AI-based stakeholder engagement, marketing agility, and firm performance",European Journal of Marketing,03090566,,,1-28,0,1,Artificial intelligence | Marketing agility | New-age technologies | Stakeholder engagement | Technology turbulence,"Purpose – This study aims to examine how artificial intelligence (AI)-based stakeholder engagement can enhance marketing agility and improve firm performance, particularly in environments with high technological turbulence. Design/methodology/approach – Data were collected through a survey of 335 companies across diverse industries in Australia, using validated scales for AI-based stakeholder engagement, marketing agility, firm performance and technology turbulence. Partial least squares structural equation modelling was used to analyse the data. Findings – The results indicate that engaging stakeholders through AI technologies positively influences marketing agility, which in turn enhances firm performance. These effects are amplified in conditions of high technology turbulence. Research limitations/implications – This study focuses solely on technological turbulence as a moderating factor. Future research should replicate these findings and explore additional moderating factors to enhance understanding of AI’s impact on marketing dynamics. Practical implications – Businesses should invest in and leverage AI to improve interaction with stakeholders, as it can enhance their ability to respond swiftly to market changes and significantly boost overall performance. These implications are especially crucial for firms operating in environments highly disrupted by technological advancements. Originality/value – This study bridges literature gaps by highlighting how firms can use AI as a tool to engage suppliers, employees and other stakeholders effectively. This engagement enhances their capabilities to respond to changes in dynamic and disrupted markets. Additionally, this study sheds light on the boundary conditions of these relationships.",3,MKT,include,,"AI-based stakeholder engagement -> agility -> firm performance, survey n=335, turbulence condition"
2-s2.0-105007792298,10.1016/j.technovation.2025.103279,2025,Platania F.; Toscano Hernandez C.; El Ouadghiri I.; Peillex J.,Platania F.,Bridging AI innovation and sustainable Development: The effect of AI technological progress on SDG investment performance,Technovation,01664972,,146,,16,0,,"In the age of AI-driven innovation, Artificial Intelligence (AI) has become a transformative force in financial markets, reshaping investment strategies and sustainability-driven asset allocation. This study examines the impact of AI-driven innovation on the financial performance of sustainability-focused investments by analyzing the relationship between AI patent activity and the market returns of exchange-traded funds (ETFs) aligned with the United Nations Sustainable Development Goals (SDGs). Employing a state-space framework and a Kalman Filter model, we capture the dynamic influence of AI advancements on SDG-aligned ETFs, revealing that technological progress significantly enhances excess returns, particularly in the clean energy and water resource sectors. However, our analysis also uncovers sectoral variations in AI's financial impact, indicating that the benefits of AI innovation are unevenly distributed across industries. These findings bridge the gap between sustainable finance and technological innovation, demonstrating that AI serves as both a financial accelerator and a sustainability enabler. By integrating AI-driven innovation into asset pricing models, this study provides actionable insights for investors, policymakers, and corporate strategists, emphasizing the need to incorporate AI-based metrics into investment decision-making, risk assessment frameworks, and regulatory policies to foster sustainable economic growth.",3,INNOV,exclude,E2,"AI patents -> SDG ETF returns; unit = ETFs/sectors, not firms (restored after author-name collision with IEEE-TEM Platania record)"
2-s2.0-105010209375,10.1109/TEM.2025.3585975,2025,Platania F.; Toscano Hernandez C.; El Ouadghiri I.; Peillex J.,Platania F.,Harnessing the Power of AI in RD&E Management: The Innovation Index,IEEE Transactions on Engineering Management,00189391,15580040,72,3055-3064,3,0,Artificial intelligence (AI) | development and engineering (RD&E) | engineering management | excess of return | innovation | Kalman filter | research,"This article investigates the complex relationship between artificial intelligence (AI)-related technological innovation and its impact on the market returns of leading technology companies. We introduce the “Innovation Index,” a latent variable based on the number of AI-related patents, and incorporate it into the traditional Fama–French model to better capture the influence of AI advancements on financial performance. Using a state-space representation, our empirical analysis suggests that AI-related innovation significantly contributes to the market returns of prominent and leading technology firms. The findings highlight the strategic importance of AI investments in sustaining long-term growth and competitiveness.",3,OPS&TECH,exclude,NR,"EXCLUDED: full text not retrievable (no WU license, no OA version/preprint found, 18 Jul 2026) - PRISMA category reports-not-retrieved. Decision by Arthur 18 Jul 2026."
2-s2.0-85183666167,10.1007/s10479-024-05825-9,2025,Sabharwal R.; Miah S.J.; Wamba S.F.; Cook P.,Sabharwal R.,Extending application of explainable artificial intelligence for managers in financial organizations,Annals of Operations Research,02545330,15729338,354,309-339,17,1,Artificial intelligence | Financial organization | Machine learning | Supervised learning | Unsupervised learning,"Anomalies are a significant challenge for businesses in all industries. Artificial intelligence (AI) based machine learning (ML) detection models can help find aberrant customer transaction behaviour in financial datasets. However, the output responses provided by these AI-based ML models lack transparency and interpretability, making it challenging for financial managers to comprehend the reasoning underlying the AI detections. Suppose managers cannot comprehend how and why AI models develop responses based on the input information. In such cases, AI is unlikely to enhance data-driven decision-making and add value to organizations. This article’s primary objective is to illustrate the capacity of the SHapley Additive exPlanations (SHAP) technique to give finance managers an intuitive explanation of the anomaly detections AI-based ML models generate for a specific customer transaction dataset. Theoretically, we contribute to the literature on international finance by offering a conceptual review of AI algorithmic explainability. We discuss its implications for sustaining a competitive advantage using the concepts of action design research methodology following the research onion framework. We also suggest an explainable AI implementation methodology based on SHAP as a valuable guide for finance managers seeking to boost the transparency of AI-based ML models and to alleviate trust difficulties in data-driven decision-making.",3,OR&MANSCI,exclude,E3,SHAP explainability demo for anomaly detection; AI as tool
2-s2.0-105001080431,10.1108/JIC-05-2024-0155,2025,Sandeep M.M.; Lavanya V.; Balakrishnan J.,Sandeep M.M.,Leveraging AI in recruitment: enhancing intellectual capital through resource-based view and dynamic capability framework,Journal of Intellectual Capital,14691930,17587468,26,404-425,34,0,AI adoption | Artificial intelligence | Competitive advantage | Dynamic managerial capability | Recruitment | Resource-based view,"Purpose: The rapid evolution of artificial intelligence (AI) is revolutionizing organizational operations and altering competitive landscapes. This study examines the influence of organizational resources on AI adoption in recruitment, focusing on their role in achieving competitive advantage through effective implementation. Design/methodology/approach: This research utilizes a cross-sectional quantitative approach, applying partial least squares structural equation modeling (PLS-SEM) to data from 290 human resource (HR) professionals. It is grounded in the resource-based view (RBV) and dynamic capability framework (DCF). Findings: The results reveal that HR competencies and open innovation significantly influence dynamic capabilities, which are essential for AI integration, supported by financial support and information technology (IT) infrastructure. These capabilities enable effective AI adoption, leading to a competitive advantage. Research limitations/implications: The cross-sectional data in this study captures the current landscape of AI adoption in recruitment, providing a snapshot of the present scenario in a rapidly evolving technological environment. Practical implications: This study offers HR professionals and managers strategic guidance on effectively integrating AI into recruitment processes. By enhancing HR competencies, fostering collaboration and ensuring sufficient financial and infrastructural support, organizations can navigate AI adoption challenges and secure a competitive advantage in a rapidly evolving technological landscape. Social implications: The adoption of AI in recruitment can reduce biases, enhance diversity and improve fairness through standardized assessments. However, as AI technologies evolve, continuous human oversight is essential to ensure ethical use and to modify AI systems as needed, further reducing biases and addressing societal concerns in AI-driven recruitment processes. Originality/value: This research introduces a novel framework that underscores the importance of integrating human expertise with advanced technological tools to ensure successful AI implementation. A key contribution is that HR professionals not only facilitate AI integration but also ensure accuracy, accountability and configure the most suitable AI tools for recruitment by collaborating with AI developers to meet the specific needs of the organization.",2,ETHICS-CSR-MAN,include,,"resources -> dynamic capabilities -> AI adoption in recruitment -> competitive advantage, PLS-SEM n=290"
2-s2.0-85217212230,10.1007/s11846-025-00840-x,2025,Schwaeke J.; Gerlich C.; Nguyen H.L.; Kanbach D.K.; Gast J.,Schwaeke J.,Artificial intelligence (AI) for good? Enabling organizational change towards sustainability,Review of Managerial Science,18636683,18636691,19,3013-3038,67,1,Artificial intelligence | Corporate sustainability | Environmental management | Innovation management | Organizational capabilities,"Artificial intelligence (AI) is increasingly being recognized as a critical tool when it comes to addressing the most pressing challenges facing modern industries, including the pursuit of sustainability. The use of AI is aiding businesses in navigating corporate sustainability challenges, but existing research lacks a comprehensive exploration of how corporations leverage AI to boost their sustainability. By exploiting an inductive concept-development approach and incorporating data from 24 companies, this study provides valuable insights into the role that AI plays in shaping organizational sustainability strategies, identifying operational enablement and technical capacity as key drivers of AI adoption for corporate sustainability. These drivers are incorporated into the technology, organization, and environment (TOE) framework alongside the strategic steps and capabilities necessary for organizations to effectively adopt and implement AI in the development of their sustainability strategies. Ultimately, this study proposes an integrative model for sustainability-oriented AI adoption that emphasizes the importance of aligning AI initiatives with organizations’ sustainability objectives in order to maintain a competitive advantage and drive progress. Correspondingly, it underscores the need for robust data management, system integration, and continual performance monitoring to reduce resistance to AI adoption allowing for the potential of AI to be fully harnessed in pursuit of sustainability. Furthermore, this study offers practical guidance by exploring the direct and indirect use cases of AI in corporate sustainability. The study concludes by highlighting potential avenues for future research in this evolving field.",2,ETHICS-CSR-MAN,exclude,E4,"concept development from 24 firms; outcome = adoption model, no performance"
2-s2.0-105021114926,10.1016/j.irfa.2025.104694,2025,Shi Y.; Wu T.; Qin C.; Liu B.,Shi Y.,The value-creating potential of AI: A multi-dimensional analysis of effects and mechanisms,International Review of Financial Analysis,10575219,,108,,6,0,Artificial intelligence | Corporate value creation | Data assets | Enterprise value | Managerial capability | Technological innovation,"The integration of artificial intelligence in corporate operations has emerged as a transformative force in business landscapes, yet existing research provides limited insights into the mechanisms through which AI creates enterprise value. Drawing on a comprehensive dataset of Chinese listed companies spanning 2010–2022, this study investigates how AI adoption influences enterprise value through the mediating role of data assets and the moderating effect of managerial capability. Our analysis reveals that AI adoption significantly enhances enterprise value both directly and indirectly through data assets, demonstrating substantial mediation effects. The findings establish that managerial capability positively moderates this relationship, indicating that firms with stronger management teams extract greater value from AI investments. Through extensive robustness checks and endogeneity tests, we establish the causal nature of these relationships. Three heterogeneity tests reveal boundary conditions: the valuation premium is stronger for state-owned enterprises, disappears in heavily polluting industries unless AI is part of a credible green transition, and is evident only in non-asset-intensive firms where resource reconfiguration is agile. By integrating resource-based, dynamic-capability, and stakeholder perspectives, the study clarifies when AI becomes a genuine source of competitive advantage. The results inform executives that data governance, leadership development, and asset or environmental restructuring must accompany AI budgets, and they guide policymakers toward incentive designs that couple digital adoption with sustainability and capital-efficiency objectives.",3,FINANCE,include,,"AI adoption -> enterprise value; data assets mediate, managerial capability moderates; causal, 2010-2022"
2-s2.0-85208794678,10.1108/IMDS-02-2024-0076,2025,Song D.; Deng Z.; Wang B.,Song D.,Are companies better off with AI? The effect of AI service failure events on firm value,Industrial Management and Data Systems,02635577,,125,504-534,7,0,Accuracy | Artificial intelligence (AI) | Event study | Firm value | Safety | Service failure,"Purpose: As more firms adopted AI-related services in recent years, AI service failures have increased. However, the potential costs of AI implementation are not well understood, especially the effect of AI service failure events. This study examines the influences of AI service failure events, including their industry, size, timing, and type, on firm value. Design/methodology/approach: This study will conduct an event study of 120 AI service failure events in listed companies to evaluate the costs of such events. Findings: First, AI service failure events have a negative impact on the firm value. Second, small firms experience more share price declines due to AI service failure events than large firms. Third, AI service failure events in more recent years have a more intensively negative impact than those in more distant years. Finally, we identify different types of AI service failure and find that there are order effects on firm value across the service failure event types: accuracy > safety > privacy > fairness. Originality/value: First, this study is the initial effort to empirically examine market reactions to AI service failure events using the event study method. Second, this study comprehensively considers the effect of contextual influencing factors, including industry type, firm size and event year. Third, this study improves the understanding of AI service failure by proposing a novel classification and disclosing the detailed impacts of different event types, which provides valuable guidance for managers and developers.",2,INFO MAN,include,,event study: AI service FAILURE events -> firm value; size/timing/type conditions
2-s2.0-105025121983,10.1108/JBIM-09-2024-0706,2025,Tao Y.; Muhammad Muneeb F.; Wanke P.F.; Tan Y.,Tao Y.,Big data artificial intelligence to promote new product performance: the role of electronic-supply chain collaboration in B2B firms,Journal of Business and Industrial Marketing,08858624,,,1-14,3,0,Artificial intelligence capabilities | Big data analytical intelligence | Electronic supply chain collaboration | New product performance,"Purpose – This study aims to examine how big data analytical intelligence (BDAI) assimilation promotes new product performance (NPP) in business-to-business (B2B) manufacturing firms. This study tests the intermediary role of artificial intelligence (AI) capabilities and the contingency impact of electronic supply chain collaboration (ESCC) in the relationship between BDAI assimilation and NPP. Design/methodology/approach – Drawing on the dynamic capabilities theory (DCT), this study tests the moderated-mediation model using multi-wave, multi-source data collected from 291 Chinese B2B manufacturing firms. Structural equation modeling was applied to test the proposed hypotheses. Findings – The results demonstrate that BDAI assimilation significantly promotes NPP, and AI capabilities act as an intermediary bridge – empowering B2B firms to convert BDAI assimilation into enhanced NPP. This study further found that this mediation model is strengthened through the contingency impact of ESCC and increases its indirect effect on NPP. Practical implications – This study suggests that B2B managers and policy architects should recognize that investment in BDAI assimilation is not sufficient. However, building AI capabilities might fully support BDAI assimilation to gain innovation outcomes such as NPP. This study further suggests the practical implications of ESCC in achieving higher returns through AI capabilities in the B2B context. Originality/value – This study has threefold contributions to the existing literature on big data innovation and B2B firms. This study contributes to extend DCT by emphasizing AI capabilities as an intermediary channel and ESCC as a vital contingency – strengthening the relationship between BDAI assimilation and NPP. We contributed and understand how Chinese B2B firms strategically used big data and AI strategies to reach firms’ competitive advantage.",2,MKT,include,,"BDAI assimilation -> new product performance via AI capabilities, 291 B2B firms"
2-s2.0-85186594728,10.1002/ijfe.2945,2025,Tingbani I.; Salia S.; Hartwell C.A.; Yahaya A.,Tingbani I.,"Looking in the rear-view mirror: Evidence from artificial intelligence investment, labour market conditions and firm growth",International Journal of Finance and Economics,10769307,10991158,30,961-982,15,1,artificial intelligence | firms growth | institutional quality | labour cost | labour market conditions | labour productivity | labour share,"This paper presents evidence of the impact of AI investment on firm growth and how the relationship is sensitive to labour market conditions. Using the generalized method of moments (GMM) estimation on 1950 unique American firms over 1996–2016, we show that a 10% increase in AI investment leads to an increase in firm growth by 0.04%. However, this result is highly sensitive to labour market conditions, as labour productivity can positively impact firm growth, but labour cost and labour share negatively influence firm growth. These results offer original insights into an essential channel via which investment in AI may mediate firm growth.",3,FINANCE,include,,"AI investment -> firm growth, GMM 1950 US firms, labour-market conditions"
2-s2.0-105012272935,10.3846/ijspm.2025.24063,2025,Ulucan A.G.; Bozdağ A.; Karakoyun M.; Alkan T.,Ulucan A.G.,FORECASTING PANDEMIC-INDUCED CHANGES IN REAL ESTATE MARKET VALUES THROUGH MACHINE LEARNING APPROACHES,International Journal of Strategic Property Management,1648715X,16489179,29,196-214,1,1,geographic information system | machine learning techniques | pandemic | real estate valuation | time modelling | valuation criteria,"In this study, a new temporal segmentation method is used to forecasting the real estate market based on the structural and spatial attributes of 676 houses in Niğde, Türkiye, from the years 2019 to 2022. Artificial Neural Networks (ANN), Random Forest (RF), Decision Tree (DT), and K-Nearest Neighbours (KNN) were employed for model development and comparative performance analysis. According to the results, the ANN model that used temporal variables showed the most successful performance by achieving the highest R<sup>2</sup> for 2019 (1. period: 0.979, 2. period: 0.990, 3. period: 0.914, 4. period: 0.831) and 2022 (1. period: 0.971, 2. period: 0.975, 3. period: 0.586, 4. period: 0.896) scores. Additionally, the COD values (5%–10%) and PRD values (0.98 to 1.03) remained within the acceptable range, further validating the model’s reliability. RF model showed more effective performance than other models by achieving the highest R<sup>2</sup>: 0.510 for 2019 and R<sup>2</sup>: 0.509 for 2022 when temporal variables were excluded. These findings highlight the importance of integrating time-sensitive parameters into valuation models to improve forecast accuracy and robustness. The study offers a replicable, flexible methodology for crisis-responsive valuation, providing valuable insights for policymakers, investors, and urban planners aiming to mitigate risks and enhance resilience in real estate market decision-making.",2,SECTOR,exclude,E3,ML forecasts real estate values; AI as method
2-s2.0-105012137129,10.1111/jpim.12807,2025,Vaillant Y.; Lafuente E.; Vendrell-Herrero F.,Vaillant Y.,AI Platforms as Cooperation Enablers Favoring the Development of Strategic Situating Capabilities Within Solution Delivery Ecosystems,Journal of Product Innovation Management,07376782,15405885,,,17,1,AI platforms | inter-organizational cooperation | situated agency | situated AI theory | solution business model | solution delivery process | strategic capabilities | value ecosystems,"Academic Summary: By integrating artificial intelligence (AI) platforms into their processes, firms aim to enhance their strategic capabilities and gain a competitive advantage. This study investigates the impact of such platforms on value generation within solution-based strategies, proposing two connected mechanisms. First, AI platforms foster collaborative value systems between firms and value-chain agents across the stages of the solution delivery process (i.e., problem identification, solution development, and solution implementation). Second, such cooperation could foster the development of situating capabilities (i.e., grounding, bounding, and recasting), which are conceptually linked to the mitigation of situated agency constraints that stifle value creation within productive systems. These relationships underscore the value generation potential of AI platforms for solution providers, extending the premise of situated AI capabilities to the organizational and inter-organizational level. Data collected from 570 Spanish manufacturing firms in 2023 reveals that firms utilizing AI platforms exhibit greater cooperative and situating capability-building behavior during the problem identification and solution implementation stages. However, no significant association is found between AI platforms and the more creative stage of solution development. The study provides novel insights into the interplay between AI platforms, user cooperation, situated agency, and strategic capabilities as drivers of value generation and advancement of the AI-dominated paradigm. Theoretical and practical implications are discussed. Managerial Summary: This study highlights the strategic role of AI platforms in enhancing collaboration between manufacturers and solution seekers throughout the solution delivery process. AI technologies facilitate collective learning, adaptation, and knowledge sharing, particularly during the diagnostic and implementation stages, where real-time data processing and predictive analytics help tailor solutions to user-specific challenges. This more effective coordination is essential for mitigating agency problems that arise due to asymmetric information or misaligned objectives within complex solution systems. However, the findings reveal that AI's influence is limited in the co-creation of solution design and development, which relies heavily on human insight, creativity, and contextual judgment. Managers should therefore not view AI as a substitute for human input, but rather as a complementary tool that enhances efficacy and integration. For firms seeking to strengthen their solution-oriented strategies, the key takeaway is that maintaining a balanced approach—combining AI-enabled collaboration with human ingenuity—will improve solution outcomes and sustain competitive advantage in markets increasingly shaped by personalization and customer-specific problem solving.",4,INNOV,exclude,E4,FULL-TEXT VERDICT: DVs = AI-induced situating capabilities (grounding/bounding/recasting) + cooperation; no performance/CA outcome. NOTE: builds directly on Kemp (2024) Situated-AI framework - valuable as DISCUSSION-chapter source despite exclusion
2-s2.0-85217361493,10.1002/mar.22198,2025,Vorobeva D.; Pinto D.C.; González-Jiménez H.; António N.,Vorobeva D.,Bragging About Valuable Resources? The Dual Effect of Companies’ AI and Human Self-Promotion,Psychology and Marketing,07426046,15206793,42,1680-1699,8,0,artificial intelligence | bragging | competitive advantage | self-discrepancy | self-promotion,"As companies actively invest in self-promotion of Artificial Intelligence (AI) empowered services to sustain their competitive advantage, there is a growing potential for such promotional activities to backfire. Bridging signaling theory with the resource-based view, this research reveals that companies’ self-promotion of AI resources can reduce customers’ willingness to engage with AI-based (vs. human-based) services. Four studies, including text mining and experiments, demonstrate that companies’ self-promotion of AI-based resources has a detrimental effect on willingness to engage, and concurrently perceived as exaggeration. In contrast, companies’ self-promotion about human-related resources yields beneficial outcomes, since such promotional signals contribute to the enhancement of human capital. The findings suggest that self-discrepancy and trust are the key underlying factors driving the effects as customers may experience a discrepancy between their expectations of human-like service interactions and actual AI capabilities. Additionally, findings reveal the moderating effect of honest (vs. self-promotional) framing on the relationship between service type (AI vs. human) and willingness to engage. Customer perceptions of AI appear less influenced by presentation style compared to perceptions of human resources. This research provides valuable insights into how customers respond to companies’ self-promotion of AI resources and emphasizes the need for promotional alignment with customers’ expectations about AI.",3,MKT,exclude,E2,consumer willingness to engage; individual-level outcome
